cityCode,cityName,wellnessCentreCode,wellnessCentreName,wellnessCentreAddress,doctorCount,category,wellnessCentreContactNo,longitude,latitude
079,AHMEDABAD,AH07,Gandhingar,NA,3,alopathic,"079 23243433",72.648986816406,23.210667
080,BENGALURU,BA02,"Wellness Center Seshadripuram",NA,4,alopathic,"080 23311492",77.574111938477,12.98935
080,BENGALURU,BA06,"Wellness Center Jayanara",NA,7,alopathic,"080 26570202",77.579864501953,12.941909
080,BENGALURU,BA07,"Wellness Center Koramangala",NA,5,alopathic,"080 25539277",77.620819091797,12.92536
080,BENGALURU,BA09,"Wellnessd Center Gangenahalli",NA,4,alopathic,"080 23330320",77.587432861328,13.022677
0891,VISAKHAPATNAM,HYV,VISAKHAPATNAM,NA,5,alopathic,,83.331787109375,17.728617
011,DELHI/NCR,AY31,"North Avenue (Ayur)",NA,3,ayurvedic,23092794,77.199165344238,28.618547
011,DELHI/NCR,AY65,"AYURVEDIC WC MEHRAULI BADARPUR",NA,3,ayurvedic,011-29564988,77.220932006836,28.52314
011,DELHI/NCR,AY9,"AYURVEDIC WC LODHI ROAD I(ALI GANJ)",NA,10,ayurvedic,,77.218933105469,28.583834
011,DELHI/NCR,D19,"Dev Nagar",NA,3,alopathic,25860275,77.184028625488,28.654448
011,DELHI/NCR,D23,"Chanakya Puri",NA,10,alopathic,"24673777 24122518",77.208633422852,28.569805
011,DELHI/NCR,D24,"KASTURBA NAGAR-I",NA,2,alopathic,011-24622867,77.224449157715,28.577652
011,DELHI/NCR,D31,"North Avenue",NA,8,alopathic,23094420,77.199653625488,28.622715
011,DELHI/NCR,D32,"South Avenue",NA,6,alopathic,23013490,77.199737548828,28.60824
011,DELHI/NCR,D37,"Sriniwas Puri",NA,4,alopathic,011-26910251,77.256156921387,28.564219
011,DELHI/NCR,D39,"Andrews Ganj",NA,4,alopathic,011-26257628,77.231430053711,28.565308
011,DELHI/NCR,D41,"Malviya Nagar",NA,5,alopathic,011-26671494,77.211715698242,28.53425
011,DELHI/NCR,D48,"Hari Nagar",NA,7,alopathic,28125518,77.104423522949,28.624546
011,DELHI/NCR,D53,"Rajouri Garden",NA,5,alopathic,25171213,77.112274169922,28.645285
011,DELHI/NCR,D58,"Nangal Raya",NA,4,alopathic,28521863,77.098762512207,28.611599
011,DELHI/NCR,D63,"Sadiq Nagar",NA,7,alopathic,011-26255516,77.226783752441,28.554974
011,DELHI/NCR,D64,"Tri Nagar",NA,2,alopathic,27385025,77.160575866699,28.67423
011,DELHI/NCR,D69,"RK Puram VI,Sec 3",NA,4,alopathic,011-26173911,77.179023742676,28.55421
011,DELHI/NCR,D7,Timarpur,NA,7,alopathic,011-23813808,77.221290588379,28.706646
011,DELHI/NCR,D73,GURGAON,NA,9,alopathic,0124-4064496,77.021324157715,28.482607
011,DELHI/NCR,D75,KALKAJI-II,NA,4,alopathic,011-26028746,77.251976013184,28.531225
011,DELHI/NCR,D78,"DAKSHINPURI(PUSHP VIHAR)",NA,6,alopathic,011-29563193,77.22632598877,28.523653
011,DELHI/NCR,D89,Rohini-16,NA,6,alopathic,27894403,77.119651794434,28.704538
011,DELHI/NCR,HO76,"Kalibari (Homeo)",NA,3,homeo,23364574,77.200057983398,28.629055
011,DELHI/NCR,HO78,"HOMEOPATHIC WC PUSHP VIHAR",NA,1,homeo,011-29563193,77.227439880371,28.523434
011,DELHI/NCR,SA1,"SIDHA WC LODHI ROAD",NA,1,siddha,,77.22452545166,28.582287
011,DELHI/NCR,UN13,"Sarojini Nagar Unani",NA,3,unani,011-24673551,77.201316833496,28.576881
011,DELHI/NCR,UN28,"Darya Ganj Unani",NA,1,unani,011-23273043,77.235252380371,28.657492
011,DELHI/NCR,UN32,"South Avenue (Unani)",NA,2,unani,23015125,77.199737548828,28.60824
0121,MEERUT,MR5,"S K Road",NA,6,alopathic,0121-2763159,77.720962524414,28.974173
0135,DHERADUN,DD1,"CGHS Milan Vihar Wellness Centre",NA,2,alopathic,0135-2726820,78.039535522461,30.328388
0172,CHANDIGARH,CG1,Chandigarh,NA,4,alopathic,0172-2630692,76.760932922363,30.70427
0177,SHIMLA,SL1,SHIMLA,NA,2,alopathic,,77.147415161133,31.103388
020,PUNE,PU02,Phulenagar,NA,5,alopathic,020-26685960,73.821502685547,18.551428
020,PUNE,PUH5,"Homeopathic Boys battalion Pune",NA,1,homeo,,73.819808959961,18.551321
022,MUMBAI,MU13,"CBD Belapur",NA,6,alopathic,022–27522287,73.028305053711,19.026836
022,MUMBAI,MU15,Deonar,NA,2,alopathic,022–25512137,72.91854095459,19.045315
022,MUMBAI,MU2,"Peddar Road",NA,1,alopathic,022–23516680,72.810279846191,18.972956
022,MUMBAI,MU22,"Sheikh Mistry, Koliwada",NA,9,alopathic,022–24015758,72.86833190918,19.02878
022,MUMBAI,MU7,WADALA,NA,4,alopathic,022–24124515,72.855796813965,19.017803
033,KOLKATA,KO1,Belvedere,NA,2,alopathic,24791153,88.346549987793,22.52668
033,KOLKATA,KO15,Tollygunj,NA,4,alopathic,24116059,88.35319519043,22.489405
033,KOLKATA,KO4,Narkeldanga,NA,3,alopathic,23203998,88.39266204834,22.573692
033,KOLKATA,KO8,"Bidhan Sarani",NA,3,alopathic,25558034,88.367286682129,22.699827
0361,GUWAHATI,GT1,Hengrabari,NA,6,alopathic,0361-2269743+919435195800,94.091903686523,25.665863
0361,GUWAHATI,GT4,Panbazar,NA,4,alopathic,0361-2540551,91.745620727539,26.185768
0364,SHILLONG,SH2,"Wellness Centre Opp. Raj Bhawan",NA,2,alopathic,0364-2504451,91.886840820312,25.5722
0389,AIZWAL,AZ1,AiZwal,NA,1,alopathic,,92.71346282959,23.721273
040,HYDERABAD,HY1,Charminar,NA,3,alopathic,040-24525415,78.486175537109,17.373007
040,HYDERABAD,HY11,Kakatiyanagar,NA,5,alopathic,040-23002454,78.356460571289,17.438862
040,HYDERABAD,HY6,Kachiguda,NA,4,alopathic,040-2473901,78.487945556641,17.386848
044,CHENNAI,CH04,GOPALAPURAM,NA,2,alopathic,044-23458404,80.261512756348,13.04461
044,CHENNAI,CH06,"KK NAGAR",NA,16,alopathic,044-23458406,80.207878112793,13.036907
044,CHENNAI,CH09,NUNGAMBAKKAM,NA,2,alopathic,044-23458409,80.248046875,13.066692
044,CHENNAI,CH14,VEPERY,NA,2,alopathic,044-23458414,80.240783691406,13.079123
0471,TRIVANDRUM,TR3,Vanchiyoor,NA,3,alopathic, 0471-2471143,76.94612121582,8.533302
0512,KANPUR,KN2,"R. K. NAGAR",NA,3,alopathic,0512-2542379,80.319633483887,26.470814
0512,KANPUR,KN3,"Civil Lines",NA,2,alopathic,0512-2306876,80.34627532959,26.475863
0512,KANPUR,KN7,"Pandu Nagar",NA,4,alopathic,0512-2217339,80.29418182373,26.472935
0522,LUCKNOW,LK6,Lucknow6,NA,7,alopathic,0522-2745246,80.94458770752,26.904528
0522,LUCKNOW,LK9,Aishbagh,NA,2,alopathic,0522-2251392,80.90119934082,26.848011
0532,ALLAHABAD,AL07,Naini,NA,2,alopathic,0532-2697132,81.869728088379,25.39662
0612,PATNA,PA3,"Salimpur Dumra",NA,7,alopathic,0612-2582998,85.084213256836,25.617695
0651,RANCHI,RA1,"NEW AG COLONY, DORANDA",NA,4,alopathic,0651-2481901,85.31861114502,23.343538
0651,RANCHI,RA3,"P and T COLONY LALPUR",NA,2,alopathic,0651-2562333,85.340263366699,23.374857
0674,BHUBANESHWAR,BH3,"PMG Square",NA,2,alopathic,"0755- 2566977",85.835983276367,20.274715
0712,NAGPUR,NP2,"Civil Lines",NA,2,alopathic,0712-2560310,79.057464599609,21.158367
0712,NAGPUR,NP8,"Sai Mandir",NA,3,alopathic,"0712- 2226516",79.069778442383,21.112846
0761,JABALPUR,JB3,"Westland OFK-Extn. Counter of Wellness Centre no. 3",NA,4,alopathic,2430018,79.985572814941,23.188099
0761,JABALPUR,JB5,"CGHS WC 5 JABALPUR",NA,2,alopathic,,80.011009216309,23.204065
079,AHMEDABAD,AH02,Shahalam,NA,2,alopathic,"079 25393262",72.591529846191,22.999426
079,AHMEDABAD,AH10,Bopal,NA,2,alopathic,02717-243144,72.476913452148,23.026167
080,BENGALURU,BA01,"Wellness Center Shivajinagar",NA,5,alopathic,080-25588777,77.603363037109,12.980318
080,BENGALURU,BA08,"Wellness Center Domlur",NA,6,alopathic,"080 25355662",77.642333984375,12.959418
